Codigo_Pais,Pais,PIB,Poblacion,Exportaciones,Importaciones,Desempleo,Inflacion
AFG,Afghanistan,17152234636.8715,41454761,16.2352784419391,50.764299620256,14.008,-4.64470870797775
ALB,Albania,23491242727.4082,2411658,38.4188212901288,43.9336721089435,10.669,4.75834555150038
DZA,Algeria,247923887214.655,46164219,23.7900604738163,19.9497379768844,11.645,9.32217375928322
AGO,Angola,106042349567.303,36749906,32.6693723720411,20.9376402778275,14.051,13.6441017767715
ARG,Argentina,649461687959.174,45538401,12.8223120961047,13.8546391521167,6.139,133.488935594175
ARM,Armenia,24185982215.6543,2964300,61.008329479156,62.4104205984709,12.405,1.98041877615554
AUS,Australia,1734451264655.6,26659922,26.701068252275,22.3432710661529,3.668,5.59701792296707
AUT,Austria,516670509628.876,9131761,58.4867595713944,56.6661552513376,5.264,7.81413417002831
AZE,Azerbaijan,72428470588.2353,10153958,48.9964135000536,34.5394726155785,5.64,8.78543049849081
BHS,"Bahamas, The",15271300000.0,399440,37.8114502367185,38.7380249225672,8.645,3.05291578969743
BHR,Bahrain,46192260638.2979,1577059,87.351143952571,70.0967107297264,1.049,0.0746206782192256
BGD,Bangladesh,437415333018.291,171466990,13.1571638341204,17.8258075763392,3.352,9.8835030377921
BLR,Belarus,72478760370.4258,9178298,66.0267285714941,65.5579463134666,3.461,5.0005990309131
BEL,Belgium,650779364363.737,11779946,82.8132982978783,83.174142438564,5.547,4.04901077613941
BLZ,Belize,3052362650.0,411106,54.9308418513115,51.4696639994596,8.278,4.38984017487675
BEN,Benin,19673291004.1444,14111034,20.003519091069,24.6596117269521,1.641,2.73870078406075
BTN,Bhutan,3012896789.79753,786385,28.3881078975658,53.3485199564153,3.126,4.22934419929251
BOL,Bolivia,52340206946.4544,12244159,22.4028095381649,27.2055160212948,3.024,2.57688800489192
BIH,Bosnia and Herzegovina,27592361498.4057,3185073,43.9317398178138,55.7012919776304,10.668,6.1059011284828
BWA,Botswana,19413614554.6944,2480244,32.8968928794687,37.2159398529822,23.381,5.0676154934383
BRA,Brazil,2191131765684.63,211140729,17.9693243032741,15.6969055268697,7.947,4.59356282283204
BRN,Brunei Darussalam,15095084656.1634,458949,76.7032024805205,60.1602321699593,5.296,0.35706431153689
BGR,Bulgaria,102204457334.822,6446596,62.0049746360507,57.8945312158656,4.319,9.44284140088564
BFA,Burkina Faso,20106062971.6533,23025776,28.9494254778906,34.2036181095058,3.601,0.742910428668918
CPV,Cabo Verde,2504525537.51069,522331,39.2805048495495,55.7519894851197,11.882,3.72437517668748
KHM,Cambodia,42335646895.7984,17423880,66.8926660552171,67.3141763407136,0.256,2.12746796594194
CMR,Cameroon,48814501547.4313,28372687,16.8527562193087,21.0375759049491,3.607,7.38281384280984
CAN,Canada,2196593836347.42,40049088,33.3416520498948,33.2328904516085,5.415,3.87900159788426
CAF,Central African Republic,2555492085.94725,5152421,14.4408262093734,29.0397439989846,6.181,2.97913852618937
TCD,Chad,18352937976.2179,19319064,29.1015893607964,17.7610595151764,1.059,10.8363568399843
CHL,Chile,335802745366.38,19658835,30.7750617433637,29.901582730252,9.013,7.58168251407962
CHN,China,18270356654533.2,1410710000,19.4023091648376,17.3368405290018,4.67,0.234836828893051
COL,Colombia,366901643683.302,52321152,17.8077746975806,22.3255418346774,9.591,11.7359044948689
COM,Comoros,1465977684.31307,850387,10.3108363180596,34.1290271316493,3.833,8.37373955490996
COG,"Congo, Rep.",15321055822.5167,6182885,56.8959278033859,39.314466600576,19.919,4.30174563591016
CRI,Costa Rica,87512637055.7736,5105525,38.0957487081207,33.3422823259329,8.325,0.525193508693455
CIV,Cote d'Ivoire,80780312569.1646,31165654,22.4353390507141,26.3816648596191,2.263,4.36972254867474
HRV,Croatia,85621337533.3348,3859686,52.5673730204834,54.7104286111181,6.121,7.94128177586822
CYP,Cyprus,35075440602.5202,1344976,96.3899707005315,94.3509872559874,5.835,3.54134188751646
CZE,Czechia,345059295659.911,10864042,68.4031069284452,63.489491367431,2.579,10.6612601372427
DNK,Denmark,404651706117.557,5946952,69.3143620591443,60.3109753721333,5.094,3.30517811237606
DJI,Djibouti,3898447007.38798,1152944,150.741322598259,135.160721202385,26.074,1.44905087029086
DOM,Dominican Republic,120456239153.739,11331265,21.3233165320401,28.5202966444017,5.555,4.78561281021135
ECU,Ecuador,120792801000.0,17980083,28.649536821321,28.5131570051099,3.51,2.21568764237058
EGY,"Egypt, Arab Rep.",395926071447.591,114535772,19.1060913405676,21.3443094314355,6.753,33.8847763115546
SLV,El Salvador,33565430000.0,6309624,28.7918551914872,51.0204099872994,2.992,4.04554694222477
GNQ,Equatorial Guinea,12541814272.8021,1847549,37.8045825137903,22.8840801675135,8.218,2.85949506037322
EST,Estonia,41470344395.1086,1370286,77.7746597010983,76.8179574100507,6.378,9.15922507983982
ETH,Ethiopia,135874093203.18,128691692,6.59591829052029,14.0022832166203,3.375,30.2188278135278
FJI,Fiji,5476673518.13788,924145,57.5069787068294,68.7751558036874,5.316,2.97544080604539
FIN,Finland,295191741637.26,5583911,42.7684474643322,42.7457372575594,7.149,6.25064322154763
FRA,France,3056250648138.29,68372286,34.4562568778842,36.1698881831383,7.335,4.8783572650844
GAB,Gabon,19388372070.9778,2484789,63.7282777796674,27.750375538247,20.161,3.62901534185376
GMB,"Gambia, The",2382262185.38179,2697845,7.05322372905498,32.9087936176572,6.479,16.9742129632327
GEO,Georgia,30777833600.6515,3715483,49.2670598313658,57.8841193302132,11.549,2.48776056578715
DEU,Germany,4562207532490.28,83287273,42.9672624196847,38.9952859590786,3.071,5.94643667725823
GHA,Ghana,80547146875.9526,33787914,31.7708164943996,32.617045035709,2.829,38.1069656296501
GRC,Greece,242946187738.269,10407351,43.8388384656123,48.6322498290894,11.023,3.46480128513405
GTM,Guatemala,104298081428.769,18124838,16.6174908714024,31.7123069758568,2.344,6.20657592272126
GIN,Guinea,22407615556.0571,14405468,44.1320630492989,51.6974637089281,5.141,7.80497591927973
GNB,Guinea-Bissau,2076748678.11987,2153339,13.7413098032507,28.6938417209569,2.632,7.10220928557059
HTI,Haiti,19572288894.1581,11637398,3.19960218811037,22.0482963060687,14.459,36.8135162780854
HND,Honduras,34355805527.9795,10644851,37.3686804713719,61.4232993622646,6.07,6.66325180347463
HKG,"Hong Kong SAR, China",380762296025.216,7536100,176.854196785869,176.340412114544,2.949,2.09660511249089
HUN,Hungary,213029511028.874,9592186,81.3874893501556,77.2313362577572,4.096,17.1249659678737
ISL,Iceland,31701996433.7807,385663,43.9745925950012,43.2642884972263,3.518,8.73630299937298
IND,India,3500906030644.76,1438069596,22.354801966733,23.9681500915008,4.172,5.64914318907925
IDN,Indonesia,1371166925749.88,281190067,21.8085632197562,19.6519133249671,3.308,3.66938654859761
IRN,"Iran, Islamic Rep.",457510482317.483,90608707,23.9216475542357,25.4719025417845,8.129,44.5791857572797
IRQ,Iraq,268881051643.549,45074049,39.6312322400043,29.8300885590124,15.239,4.35835351089595
IRL,Ireland,567372737459.116,5311538,136.52636667411,103.123260911001,4.243,6.29942487419125
ISR,Israel,513393395491.904,9849000,30.3284744013966,27.6493079272484,3.371,4.22522603168918
ITA,Italy,2316882296366.32,58984216,33.3293695692309,31.7734723749599,7.627,5.62219442195901
JPN,Japan,4384854269961.93,124516650,21.0593101343597,22.5357732459138,2.6,3.26813365933163
KAZ,Kazakhstan,261840101059.923,20330104,34.650577449538,27.6837063179642,4.835,14.5275597825952
KEN,Kenya,107500884685.013,55339003,16.7133442998721,24.2204234378835,5.409,7.67139634029402
KOR,"Korea, Rep.",1844800934391.54,51712619,41.3214807367697,40.9365283348931,2.675,3.5974562502901
KWT,Kuwait,165462656226.772,4853420,57.702062317436,38.3322886518802,2.08,3.64216403030709
KGZ,Kyrgyz Republic,15180842369.4894,7099750,36.8882232535821,95.485180658754,3.498,10.7532770416742
LVA,Latvia,42779550936.838,1883710,65.9896551482715,69.653334005995,6.465,8.9380462331663
LBN,Lebanon,20078620356.9931,5773493,30.5514119674735,73.6549981017088,10.985,221.341644023365
LSO,Lesotho,2129871529.52517,2311472,42.6829787081486,98.0395091693796,16.348,6.34221743124953
LBY,Libya,44027664915.187,7305659,85.6010032090609,75.4692294006607,18.713,2.3731753143518
LTU,Lithuania,80356613554.5602,2871585,75.933513171116,72.0572386053119,6.841,9.11731962390475
LUX,Luxembourg,88788881539.3937,666430,217.379822583978,185.187145613366,5.184,3.74140361983136
MAC,"Macao SAR, China",45626467279.891,678800,92.4170435765852,53.4574236757415,2.206,0.476384495788075
MDG,Madagascar,16036707975.7567,31195932,26.7228861237427,36.0393286356886,3.044,9.87432675044888
MWI,Malawi,13363669672.9405,21104482,11.2450363894528,31.1926320096439,5.009,28.7897428247298
MYS,Malaysia,399949418752.657,35126298,68.6789535653168,63.9145080762826,3.858,2.48886560125754
MDV,Maldives,6621008703.95743,525994,74.0437692661116,75.3062069113229,4.019,2.90372427754586
MLI,Mali,24777941860.767,23769127,24.7863775029858,32.8427797239438,2.947,2.05880228274223
MLT,Malta,22625329775.6867,552747,119.748336901667,101.384959473926,3.479,5.09396758978883
MRT,Mauritania,10687541640.1299,5022441,38.4070908149798,53.7583536996945,10.37,4.95305034506872
MUS,Mauritius,14072212290.4596,1248647,69.0411453509364,78.2802467779156,5.571,7.05298238454736
MEX,Mexico,1794410347718.25,129739759,36.1479343675069,37.5911414580596,2.765,5.52796087314389
MDA,Moldova,16711906746.2133,2457783,35.1125857861262,58.882035362679,1.57,13.41701043813
MNG,Mongolia,20325121393.9074,3481145,76.2571171270924,66.607129472089,5.178,10.347583131434
MNE,Montenegro,7643318276.40347,623529,49.229023063194,67.5776464751354,13.146,8.58476910455403
MAR,Morocco,146036093666.762,37712505,42.4176033594569,50.7002810585209,8.896,6.09114152504141
MOZ,Mozambique,20927498317.3094,33635160,45.6002906309861,60.4257929956707,6.661,7.12697482131851
NAM,Namibia,12522012873.7957,2963095,43.2846167726677,66.5329828976325,19.154,5.87993463284275
NPL,Nepal,41049329851.0546,29694614,7.00596728086136,34.5641830123854,10.437,7.11587261530826
NLD,Netherlands,1135475867551.0,17877117,87.4860612893795,77.5443681895531,3.535,3.83839354342808
NZL,New Zealand,256372177757.764,5200000,23.6303100710205,26.2351940788292,3.734,5.73316283034957
NIC,Nicaragua,17805842220.7571,6823613,45.8658095323572,59.1537260474944,4.698,8.38765854872536
NER,Niger,16949765463.9058,26159867,8.25116486718739,22.4664886397182,0.407,3.70097316425834
MKD,North Macedonia,15855131188.9092,1827816,67.3969980458635,80.3972554372264,13.174,9.36187249769015
NOR,Norway,502197633322.816,5519601,46.4049617701132,30.9962278135928,3.574,5.51784987104659
OMN,Oman,106174707932.38,5049269,61.5843427989208,44.8623883036834,3.176,0.950782997762827
PAK,Pakistan,336686348609.266,247504495,10.4939587511564,17.9737337958273,5.237,30.7681280657005
PAN,Panama,83812155200.0,4458759,45.6292440025453,42.7196665144342,6.544,1.48641355277038
PRY,Paraguay,43140465595.6662,6844146,42.257662716231,40.3200625134206,5.794,4.63202285403356
PER,Peru,268025009709.319,33845617,27.1701618135233,23.736868907826,4.899,6.45561348369586
PHL,Philippines,437055627245.138,114891199,26.6368493470585,40.7831199701022,2.2,5.97802515541409
POL,Poland,812451193396.143,36687353,57.8812710195434,52.1436640222717,2.743,11.5289127961105
PRT,Portugal,292323800948.839,10578174,47.1554769314882,45.9803767757157,6.498,4.31128191898681
ROU,Romania,347757995758.914,19061062,39.2445975462886,44.1307348599346,5.589,10.3971874764996
RUS,Russian Federation,2046284838151.09,143826130,22.7699393140297,18.5695723352636,3.076,5.86571931748967
RWA,Rwanda,14806501437.282,13954471,23.7006060278177,43.1919779061295,12.352,19.789546746467
WSM,Samoa,1044909500.02527,216663,26.2085799096029,54.6319326613049,4.92,7.92164684826777
STP,Sao Tome and Principe,690456806.696406,230871,14.2438021824642,32.7307765511991,9.032,21.2589138473
SAU,Saudi Arabia,1218584800000.0,33702731,30.7559610678442,25.0415071647045,4.008,2.32708518362706
SEN,Senegal,30696331295.7826,18077573,23.1064628813737,48.4878187033086,2.784,5.93947798773215
SRB,Serbia,81343999280.0179,6623183,55.0746098125196,59.4174548307005,8.268,12.3719043552519
SLE,Sierra Leone,6415852766.09227,8460512,20.9636585435779,34.3231384251881,3.092,47.6428733253179
SGP,Singapore,511181761243.76,5917648,180.430012907963,143.271207083937,3.444,4.83372362825798
SVK,Slovak Republic,133578518423.544,5426740,91.4935561325084,89.8973162239414,5.843,10.5319476645211
SVN,Slovenia,69255264238.3855,2120461,83.4382737313632,76.7213955695369,3.652,7.44687717385846
SLB,Solomon Islands,1506124566.40404,800005,36.2593066478577,64.8752251779045,1.443,5.88585897042164
ZAF,South Africa,381440724491.232,63212384,33.2538127556816,32.4260632183892,32.098,6.0752438457966
ESP,Spain,1619481980719.64,48352528,37.8166476493913,33.9809889561819,12.179,3.53236133492433
LKA,Sri Lanka,84080307355.5983,22037000,20.5995283672112,22.7481397523022,4.528,16.5411742279832
SWE,Sweden,578990915246.07,10536632,55.1958779701806,52.4238314737936,7.611,8.5486248974891
CHE,Switzerland,928435275851.707,8888822,70.3187381654557,59.4184563829442,4.043,2.13540088016387
TZA,Tanzania,79030935638.1317,66617606,17.1954298762755,21.0166049300635,1.565,3.79923291384916
THA,Thailand,517013369475.121,71702435,65.5135882745017,63.2787714156634,0.733,1.22908986612448
TLS,Timor-Leste,2079767200.0,1384286,22.9230944694195,66.3815546278449,1.525,8.42035103310377
TGO,Togo,9723300576.72675,8223850,24.5820517950579,35.3471259066848,1.942,5.48928568141131
TON,Tonga,591139733.623755,104597,14.7440210892371,64.8799046107707,1.652,6.35112980255182
TUN,Tunisia,48205328303.3398,12200431,53.0393939110608,59.0894641022935,15.106,9.32899597507865
TUR,Turkiye,1141242864657.45,85325965,31.9135926809724,33.7696157928943,9.388,53.8594087593315
UGA,Uganda,48768955863.3175,48656601,11.6017089255499,21.739987404672,2.754,5.35094804280395
ARE,United Arab Emirates,522622268401.125,10483751,106.846123390953,92.1988267361531,2.151,1.62670837213248
GBR,United Kingdom,3420796653789.08,68526000,31.9122697629938,33.0801144117865,4.025,6.79396706793963
USA,United States,27811517000000.0,336755052,11.0506737190927,13.878624456192,3.638,4.11633838374488
URY,Uruguay,79208725899.5531,3388081,27.9812486565884,24.3460621821134,8.355,5.86910359896119
UZB,Uzbekistan,107526539716.318,35652307,23.3152321915222,39.7869621133828,4.434,9.95659071258018
VUT,Vanuatu,1188137265.19047,320409,28.3701473975778,49.694747106457,5.011,11.1825017088175
VNM,Viet Nam,433805036898.465,100352192,86.7366640875238,78.2589213683517,1.645,3.25289282667662
ZMB,Zambia,27577956471.244,20723965,40.8461239686718,37.3957630764767,5.861,10.884531691282
